filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
contracts/batch2_ofs/batch02_contract_046_obf.sol,batch02_contract_046_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216861.056104,2.234849691390991,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_047_obf.sol,batch02_contract_047_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216771.3613226,2.2287771701812744,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_050_obf.sol,batch02_contract_050_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216594.559787,2.1359596252441406,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_051_obf.sol,batch02_contract_051_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216721.474425,2.1692090034484863,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_052_obf.sol,batch02_contract_052_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216738.6699827,2.229580879211426,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_055_obf.sol,batch02_contract_055_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216688.7718053,2.1700172424316406,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_056_obf.sol,batch02_contract_056_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216795.3050737,2.1775131225585938,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_057_obf.sol,batch02_contract_057_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216751.7816925,2.127143383026123,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_058_obf.sol,batch02_contract_058_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216736.4512029,2.2183873653411865,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_060_obf.sol,batch02_contract_060_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216858.8351154,2.2206318378448486,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_063_obf.sol,batch02_contract_063_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216701.778861,2.2059123516082764,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_065_obf.sol,batch02_contract_065_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216629.7715518,2.166161060333252,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_066_obf.sol,batch02_contract_066_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216682.1318803,2.188861608505249,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_067_obf.sol,batch02_contract_067_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216784.475424,2.202274799346924,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_068_obf.sol,batch02_contract_068_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216714.926145,2.2077996730804443,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_069_obf.sol,batch02_contract_069_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216732.1593575,2.138333320617676,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_070_obf.sol,batch02_contract_070_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216636.287753,2.132235288619995,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_072_obf.sol,batch02_contract_072_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216854.4865625,2.2107067108154297,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_073_obf.sol,batch02_contract_073_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216664.801175,2.092029094696045,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_074_obf.sol,batch02_contract_074_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216640.6395192,2.1545863151550293,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_075_obf.sol,batch02_contract_075_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216804.0567687,2.174201488494873,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_076_obf.sol,batch02_contract_076_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216841.441673,2.169074535369873,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_077_obf.sol,batch02_contract_077_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216712.7882316,2.1374852657318115,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_078_obf.sol,batch02_contract_078_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216843.6112282,2.233006238937378,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_081_obf.sol,batch02_contract_081_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216847.999168,2.217585325241089,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_082_obf.sol,batch02_contract_082_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216725.8213995,2.1338348388671875,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_083_obf.sol,batch02_contract_083_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216566.4023893,2.2206616401672363,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_084_obf.sol,batch02_contract_084_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216653.834124,2.160449266433716,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_085_obf.sol,batch02_contract_085_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216867.6777074,2.22971248626709,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_087_obf.sol,batch02_contract_087_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216695.2549,2.179507255554199,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_088_obf.sol,batch02_contract_088_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216603.1803606,2.2204465866088867,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_089_obf.sol,batch02_contract_089_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216775.7913892,2.1566264629364014,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_090_obf.sol,batch02_contract_090_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216666.893619,2.1767349243164062,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_091_obf.sol,batch02_contract_091_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216856.6976855,2.1369855403900146,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_092_obf.sol,batch02_contract_092_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216756.0398834,2.132521867752075,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_094_obf.sol,batch02_contract_094_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216852.3839014,2.102306604385376,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_096_obf.sol,batch02_contract_096_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216780.1140158,2.164454698562622,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_097_obf.sol,batch02_contract_097_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216631.9381123,2.1393675804138184,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_098_obf.sol,batch02_contract_098_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216823.7743654,2.174042224884033,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_100_obf.sol,batch02_contract_100_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216622.9524684,2.46591854095459,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_101_obf.sol,batch02_contract_101_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216850.2171822,2.1662721633911133,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_102_obf.sol,batch02_contract_102_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216828.1346762,2.1879632472991943,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_104_obf.sol,batch02_contract_104_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216645.0742486,2.2077083587646484,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_105_obf.sol,batch02_contract_105_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216810.730872,2.194507598876953,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_106_obf.sol,batch02_contract_106_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216764.7639172,2.153928518295288,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_108_obf.sol,batch02_contract_108_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216581.6181686,2.1435635089874268,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_110_obf.sol,batch02_contract_110_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216793.101985,2.202669858932495,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_111_obf.sol,batch02_contract_111_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216830.3230116,2.188251256942749,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_113_obf.sol,batch02_contract_113_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216769.127374,2.233553409576416,0,,,Solc experienced a fatal error,
contracts/batch2_ofs/batch02_contract_115_obf.sol,batch02_contract_115_obf.sol,mythril-0.24.8,solidity,2025/08/29,20260322_2156,1774216609.821404,2.204307794570923,0,,,Solc experienced a fatal error,
