Contract,Reentrancy,Integer,Access,TOD,DoS,Delegatecall,Unchecked Call,Timestamp,Frozen Ether
contracts/contract_077.sol,"Mythril, Slither",-,Mythril,-,-,-,-,"Mythril, Slither",-
contracts/contract_078.sol,-,"Osiris, Oyente",-,-,-,-,"Mythril, Slither",-,-
contracts/contract_079.sol,Slither,-,-,-,-,-,Slither,Slither,-
contracts/contract_080.sol,Slither,Osiris,-,-,Osiris,-,Slither,"Mythril, Slither",-
contracts/contract_081.sol,Mythril,"Mythril, Osiris, Oyente",Mythril,Mythril,-,-,-,-,-
contracts/contract_082.sol,"Mythril, Slither","Mythril, Osiris, Oyente",Mythril,-,-,-,-,Mythril,-
contracts/contract_083.sol,-,-,-,-,-,-,-,-,-
contracts/contract_084.sol,Slither,Osiris,-,-,Osiris,-,-,Slither,-
contracts/contract_085.sol,"Mythril, Slither","Mythril, Osiris, Oyente",-,-,-,-,-,Mythril,-
contracts/contract_086.sol,"Mythril, Slither","Mythril, Osiris",-,Mythril,-,-,-,"Mythril, Oyente",-
contracts/contract_087.sol,-,Osiris,Mythril,Mythril,-,-,-,-,-
contracts/contract_088.sol,-,-,-,-,-,-,Slither,-,-
contracts/contract_089.sol,"Mythril, Slither","Mythril, Osiris, Oyente",Mythril,Mythril,-,-,Slither,"Mythril, Oyente, Slither",-
contracts/contract_090.sol,-,Oyente,Mythril,Mythril,-,-,-,"Mythril, Slither",-
contracts/contract_091.sol,Slither,"Osiris, Oyente",-,-,-,-,Slither,"Mythril, Oyente, Slither",-
contracts/contract_092.sol,"Mythril, Osiris, Slither",Oyente,-,-,-,-,-,-,-
contracts/contract_093.sol,Slither,Oyente,Mythril,Mythril,-,-,-,-,-
contracts/contract_094.sol,-,-,-,-,-,-,-,-,-
contracts/contract_095.sol,"Mythril, Slither","Osiris, Oyente",-,Mythril,-,-,-,Mythril,-
contracts/contract_096.sol,Slither,"Osiris, Oyente",-,Mythril,-,-,-,"Mythril, Oyente, Slither",-
contracts/contract_098.sol,"Mythril, Slither",-,-,-,-,-,-,"Mythril, Slither",-
contracts/contract_099.sol,Slither,"Osiris, Oyente",-,-,-,-,-,-,-
contracts/contract_100.sol,Slither,"Osiris, Oyente",-,-,-,-,-,-,-
contracts/contract_101.sol,-,-,-,Mythril,-,-,-,-,-
contracts/contract_102.sol,"Mythril, Osiris, Slither","Mythril, Osiris",Mythril,Mythril,-,-,Slither,-,-
contracts/contract_103.sol,Slither,"Osiris, Oyente",Mythril,-,-,-,-,Mythril,-
contracts/contract_104.sol,"Mythril, Osiris, Slither","Osiris, Oyente",-,-,-,-,Slither,"Mythril, Slither",-
contracts/contract_105.sol,Slither,Oyente,Mythril,-,-,-,Slither,-,-
contracts/contract_106.sol,"Mythril, Slither",Oyente,-,Mythril,-,-,-,"Mythril, Oyente",-
contracts/contract_107.sol,"Mythril, Slither",-,-,-,-,-,Slither,-,-
contracts/contract_108.sol,"Mythril, Slither",Oyente,-,-,-,-,-,-,-
contracts/contract_109.sol,Mythril,"Osiris, Oyente",-,-,-,-,-,-,-
contracts/contract_110.sol,Slither,"Osiris, Oyente",-,-,-,-,-,-,-
contracts/contract_111.sol,Mythril,-,-,-,-,-,-,-,-
contracts/contract_112.sol,"Mythril, Slither","Mythril, Osiris, Oyente",-,-,-,-,Slither,-,-
contracts/contract_113.sol,Slither,-,-,-,-,-,-,"Mythril, Slither",Mythril
contracts/contract_114.sol,"Mythril, Slither","Osiris, Oyente",-,Mythril,-,-,Slither,"Mythril, Oyente, Slither",-
contracts/contract_115.sol,"Mythril, Slither",Oyente,-,-,-,-,-,-,-
contracts/contract_116.sol,Slither,"Osiris, Oyente",-,-,-,-,-,"Mythril, Oyente, Slither",-
contracts/contract_117.sol,Slither,Oyente,Mythril,Mythril,-,-,-,"Mythril, Slither",-
contracts/contract_118.sol,Slither,Oyente,-,-,-,-,-,"Mythril, Oyente, Slither",-
contracts/contract_119.sol,Slither,-,-,-,-,-,-,"Mythril, Slither",-
contracts/contract_120.sol,"Mythril, Slither","Osiris, Oyente",Mythril,-,-,-,Slither,-,-
contracts/contract_121.sol,"Mythril, Slither",Oyente,Mythril,Mythril,-,-,-,-,-
contracts/contract_122.sol,"Mythril, Slither",Oyente,-,-,-,-,-,-,-
contracts/contract_123.sol,-,-,Mythril,Mythril,-,-,-,-,-
contracts/contract_124.sol,"Mythril, Slither","Mythril, Oyente",-,Mythril,-,-,-,Mythril,-
contracts/contract_125.sol,Slither,-,-,-,-,-,-,-,Mythril
contracts/contract_126.sol,"Mythril, Slither",-,-,Mythril,Oyente,-,-,-,-
contracts/contract_127.sol,Slither,"Osiris, Oyente",-,-,-,-,-,"Mythril, Oyente, Slither",-
contracts/contract_128.sol,Slither,Oyente,Mythril,Mythril,-,-,-,-,-
contracts/contract_129.sol,"Mythril, Slither",Oyente,-,-,-,-,-,"Mythril, Slither",-
contracts/contract_131.sol,Osiris,-,-,-,-,-,-,-,-
contracts/contract_132.sol,"Mythril, Osiris, Slither",Oyente,Mythril,Mythril,-,-,-,"Mythril, Oyente, Slither",-
contracts/contract_133.sol,"Mythril, Slither",Oyente,-,-,-,-,-,-,-
contracts/contract_134.sol,Slither,-,-,-,Osiris,-,-,Slither,-
contracts/contract_135.sol,"Mythril, Slither","Osiris, Oyente",Mythril,-,-,-,Slither,"Mythril, Slither",-
contracts/contract_136.sol,"Mythril, Slither",Oyente,-,-,-,-,-,Mythril,-
contracts/contract_137.sol,"Mythril, Slither",Oyente,-,-,-,-,-,-,-
contracts/contract_139.sol,Osiris,-,-,-,-,-,-,-,Slither
contracts/contract_140.sol,Slither,"Mythril, Osiris, Oyente",-,-,-,-,Slither,"Mythril, Slither",-
contracts/contract_141.sol,Mythril,Oyente,Mythril,Mythril,-,-,-,-,-
